Rk,School,G,Pts,PassingCmp,PassingAtt,PassingPct,PassingYds,PassingTD,RushingAtt,RushingYds,RushingAvg,RushingTD,TotalOffensePlays,TotalOffenseYds,TotalOffenseAvg,FirstDownsPass,FirstDownsRush,FirstDownsPen,FirstDownsTot,PenaltiesNo,PenaltiesYds,TurnoversFum,TurnoversInt,TurnoversTot
95,Kentucky,11,24.6,11,22,50,127.4,0.7,43.1,253,5.9,2.5,65.1,380.4,5.8,5.6,12.2,1.6,19.5,6.1,52.8,1,0.6,1.6
96,Purdue,11,24.5,26.5,42.7,62.1,301,2.4,28,74.6,2.7,0.6,70.7,375.6,5.3,13.5,4.9,1.5,19.9,4.9,39.7,0.6,1.3,1.9
97,Miami (OH),11,24.4,12.5,23.6,52.7,171.2,0.8,38.5,142.6,3.7,1.6,62.2,313.8,5,6.7,7.3,1.5,15.4,6.3,54.5,0.6,0.7,1.4
98,Tulsa,11,24.4,21.2,37.7,56.1,276.8,1.4,41.7,120.2,2.9,1.5,79.5,397,5,11.2,8.4,2.2,21.7,8.8,75.2,0.8,0.7,1.5
99,Colorado,11,24.3,20.3,32.5,62.5,225.3,1.4,33.1,139.7,4.2,1.2,65.5,365,5.6,10,8.3,1.5,19.8,6.7,57.8,0.2,1,1.2
100,South Carolina,11,24.2,22.9,39.9,57.4,232.9,1.1,33.6,157,4.7,1.6,73.5,389.9,5.3,11.2,7.4,1.7,20.3,6.8,56.6,0.6,0.5,1.2
101,Tennessee,11,23.9,15.9,28.1,56.6,229.1,1.6,34.9,131.2,3.8,0.7,63,360.3,5.7,9.7,6.9,2.1,18.7,6.1,51.1,0.6,0.9,1.5
102,Iowa,11,23.5,19.5,32.5,59.8,242.2,1.3,35.2,131.7,3.7,1.1,67.7,373.9,5.5,11,7.5,1.4,19.5,4.2,31.7,0.4,0.5,0.9
103,Northern Illinois,11,23.4,18.9,32.5,58.1,229.8,1.1,36.8,139,3.8,1.4,69.4,368.8,5.3,10.3,7.5,1.4,19.2,5.3,45.4,0.5,1,1.5
104,UNLV,11,23.4,17.5,33.3,52.5,204.1,1.5,37.1,167,4.5,1.5,70.4,371.1,5.3,8.4,9.4,2,19.7,5.2,44.3,0.5,1.1,1.6
105,North Carolina State,11,23.2,21,39.4,53.3,235.6,1.2,35.6,154.5,4.3,1.3,75,390.2,5.2,10.6,9.5,2,22.2,5.7,51.1,0.9,0.6,1.5
106,Michigan State,11,22.3,19.5,34.9,55.7,229.1,1.5,35,127.4,3.6,0.9,69.9,356.5,5.1,10.5,7.6,2.4,20.5,5.8,55,0.7,1.1,1.8
107,Arkansas,11,22.1,17.4,34.2,50.8,203.5,1.1,31.3,145.6,4.7,1.3,65.5,349.1,5.3,9.6,6.5,2.3,18.5,4.9,40.2,0.5,1.4,1.9
108,South Florida,11,22.1,15.3,27.8,54.9,174.5,1.6,36.6,164,4.5,1.3,64.5,338.5,5.3,6.9,8.7,1.2,16.8,8.3,73.5,0.7,0.7,1.5
109,New Mexico,11,22,13.9,28.1,49.5,203,1,40.5,198.9,4.9,1.6,68.6,401.9,5.9,8.9,9,2.4,20.3,6.8,61.7,0.8,1.2,2
110,Stanford,11,21.5,22.5,36,62.4,259.6,1.5,28.9,105.5,3.6,0.6,64.9,365.1,5.6,10.5,6.5,2,19.1,6.3,48.1,0.3,0.7,1
111,New Mexico State,11,21.1,23.6,37.4,63.3,221.6,1.1,31.6,142.6,4.5,1.4,69,364.3,5.3,9.9,7.7,1.3,18.9,5.5,47.5,1,1.3,2.3
112,West Virginia,11,20.6,24.5,38.1,64.2,256.9,1.7,27.8,72.3,2.6,0.6,65.9,329.2,5,11,5.4,1.7,18.1,6.1,50.6,0.5,1.1,1.5
113,Nevada,11,20.5,20.4,33.1,61.5,212.1,0.8,32.4,101.8,3.1,1,65.5,313.9,4.8,9.4,5.8,1.3,16.5,7.1,55.8,0.8,1.2,2
114,Pitt,11,20.2,23.5,39.4,59.8,247.1,1.3,35.3,125.2,3.5,0.8,74.6,372.3,5,10.9,7.3,2.3,20.5,8.5,75.7,0.7,0.8,1.5
115,UTEP,11,19.9,14.4,26.7,53.7,189,0.7,36.5,146.9,4,1.6,63.3,335.9,5.3,8.5,8,1.4,17.8,6.5,60.7,0.5,0.7,1.2
116,Massachusetts,12,19.8,18.2,32.7,55.6,168.5,1.3,35.8,124.6,3.5,1.2,68.5,293.1,4.3,7.8,6.3,1.7,15.8,6.9,63.7,0.3,1.3,1.7
117,UTSA,11,19.7,17,29.2,58.3,173.5,1.1,37.9,167.5,4.4,1.3,67.1,341,5.1,7.9,8.8,1.4,18.1,7.1,67.3,1.1,0.8,1.9
118,San Diego State,11,19.5,17.3,27.3,63.3,176,1,38.8,130.7,3.4,0.8,66.1,306.7,4.6,8.9,8.2,1.3,18.4,5.7,46.8,0.2,0.5,0.6
119,California,11,19.4,15,27.7,54.1,187.2,1.3,36.5,127.9,3.5,1.1,64.2,315.1,4.9,7.5,8,2.5,18,4.7,40.8,0.4,0.7,1.1
120,Connecticut,11,19.1,18.5,31.5,59,212.9,1.2,35.9,133.5,3.7,1.1,67.4,346.5,5.1,9.1,7.9,2,19,6.5,54.4,0.6,1.3,1.9
121,Texas State,11,18.2,23.1,37,62.4,236.4,1.3,28.1,81.5,2.9,0.7,65.1,317.8,4.9,9.6,5.4,1.9,16.9,5.8,54.7,0.4,1.7,2.1
122,Georgia Tech,11,17.5,10.8,22.5,48,142.5,1.2,37.3,157.5,4.2,1.1,59.8,299.9,5,5.6,8.5,1.7,15.8,4.8,41.7,0.8,0.9,1.7
123,Vanderbilt,11,17.1,16.8,31.4,53.6,172.3,0.8,29.9,128.3,4.3,1,61.3,300.5,4.9,6.6,7,2,15.6,6.1,52.1,0.3,0.9,1.2
124,South Alabama,11,17,11.7,22.8,51.4,147.9,0.9,42,167.4,4,1.3,64.8,315.3,4.9,6.2,8.7,2.4,17.3,5.4,41.2,0.9,0.9,1.8
125,Bowling Green State,11,16.8,16.5,28.9,57.2,164.3,0.8,42.1,167.6,4,1.3,71,331.9,4.7,7.7,8.9,1.1,17.7,7.2,61.1,0.5,1.4,1.9
126,Rice,11,16.8,15.6,27.5,57,170.6,1.1,36,117.8,3.3,1,63.5,288.5,4.5,8.5,6.2,2.4,17.1,3.9,29.8,1,0.3,1.3
127,Old Dominion,11,15.7,17.1,30.8,55.5,176.5,0.5,34.8,91.9,2.6,1.2,65.6,268.4,4.1,8.5,5.8,2,16.3,5.9,59.5,0.5,1,1.5
128,Northwestern,11,15.2,13.6,27.5,49.7,122.6,0.5,42.2,162.1,3.8,1.3,69.6,284.7,4.1,6.6,8.5,2.2,17.3,5.6,50.8,0.8,1.3,2.1
129,Rutgers,11,13.9,12.5,22.7,55.2,133.4,0.6,37.5,129.9,3.5,1,60.3,263.3,4.4,5.5,6.2,1.2,12.8,6.4,59.3,0.7,1.4,2.1
130,Akron,11,11.2,18.3,33.7,54.2,209.9,1.1,27.5,48.6,1.8,0.2,61.2,258.5,4.2,8.2,4.2,1.1,13.5,6.9,54.6,1.1,1.1,2.2
